Loss,Mean,Download Time (s)
0.1,50,14.076383829116821s
0.1,100,16.43196749687195s
0.1,150,16.244674682617188s
0.1,200,17.468724966049194s
0.1,250,18.431915998458862s
0.1,500,26.842745780944824s
0.5,50,15.214470863342285s
0.5,100,16.525439262390137s
0.5,150,16.288668870925903s
0.5,200,17.346437692642212s
0.5,250,19.973967790603638s
0.5,500,24.620832920074463s
1.0,50,16.511568784713745s
1.0,100,17.759923458099365s
1.0,150,19.295634746551514s
1.0,200,21.20881462097168s
1.0,250,19.692789554595947s
1.0,500,29.641831159591675s
1.5,50,20.869344472885132s
1.5,100,23.68822932243347s
1.5,150,19.857248306274414s
1.5,200,18.574074029922485s
1.5,250,18.46456742286682s
1.5,500,38.81679582595825s
2.0,50,21.797433614730835s
2.0,100,21.87362551689148s
2.0,150,24.03506350517273s
2.0,200,27.501952171325684s
2.0,250,25.230206966400146s
2.0,500,26.78688621520996s
5.0,50,22.654563903808594s
5.0,100,27.4849750995636s
5.0,150,30.01759362220764s
5.0,200,28.37023901939392s
5.0,250,37.28335642814636s
5.0,500,37.705012798309326s
