Loss,Mean,Download Time (s)
0.1,50,22.934282779693604s
0.1,100,32.93080759048462s
0.1,150,42.83754229545593s
0.1,200,53.54284119606018s
0.1,250,63.47761154174805s
0.1,500,114.83583498001099s
0.5,50,24.929319143295288s
0.5,100,33.260719299316406s
0.5,150,45.28367376327515s
0.5,200,54.248265743255615s
0.5,250,64.4086229801178s
0.5,500,115.04714465141296s
1,50,22.81664252281189s
1,100,35.044925928115845s
1,150,46.06148409843445s
1,200,55.428239822387695s
1,250,63.30787014961243s
1,500,115.14377427101135s
1.5,50,24.07752537727356s
1.5,100,35.892268896102905s
1.5,150,47.05047011375427s
1.5,200,54.19482159614563s
1.5,250,65.62475872039795s
1.5,500,117.09251189231873s
2,50,26.11145567893982s
2,100,35.04590845108032s
2,150,48.14131784439087s
2,200,56.19612669944763s
2,250,116.61218094825745s
2,500,119.86094379425049s
5,50,31.200412273406982s
5,100,42.00816535949707s
5,150,50.06997489929199s
5,200,63.461302757263184s
5,250,75.5427188873291s
5,500,121.20989608764648s
